ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
LCAHU,2022,FY,2022-12-31,,,-1265245,25397813,23970438,23970438,USD
LCI,2020,FY,2020-06-30,545744000,165220000,55775000,-48628000,-33366000,-33366000,USD
LCI,2021,FY,2021-06-30,478778000,75593000,-16658000,-302850000,-363475000,-363475000,USD
LCI,2022,FY,2022-06-30,340579000,33166000,-70219000,-233924000,-231620000,-231620000,USD
LCID,2020,FY,2020-12-31,3976000,906000,-599227000,-719568000,-719380000,-705596000,USD
LCID,2021,FY,2021-12-31,27111000,-127786000,-1530446000,-2579712000,-2579761000,-4747093000,USD
LCID,2022,FY,2022-12-31,608181000,-1037905000,-2593991000,-1304081000,-1304460000,-1304460000,USD
LCID,2023,FY,2023-12-31,595271000,-1340795000,-3075042000,-2827394000,-2828420000,-2828420000,USD
LCII,2020,FY,2020-12-31,2796166000,706090000,222934000,209481000,158440000,158440000,USD
LCII,2021,FY,2021-12-31,4472697000,1043035000,398410000,382044000,287739000,287739000,USD
LCII,2022,FY,2022-12-31,5207143000,1273289000,553028000,525455000,394974000,394974000,USD
LCII,2023,FY,2023-12-31,3784808000,776190000,123428000,83004000,64195000,64195000,USD
LCTX,2020,FY,2020-12-31,1826000,1441000,-26447000,-21924000,-20649000,-20649000,USD
LCTX,2021,FY,2021-12-31,4341000,2915000,-49211000,-43270000,-43019000,-43019000,USD
LCTX,2022,FY,2022-12-31,14703000,13975000,-22520000,-25812000,-26273000,-26273000,USD
LCTX,2023,FY,2023-12-31,8945000,8274000,-24733000,-23282000,-21486000,-21486000,USD
LCUT,2020,FY,2020-12-31,769169000,273998000,45281000,5549000,-3007000,-3007000,USD
LCUT,2021,FY,2021-12-31,862924000,303319000,66102000,36380000,20801000,20801000,USD
LCUT,2022,FY,2022-12-31,727662000,260316000,30823000,9029000,-6166000,-6166000,USD
LCUT,2023,FY,2023-12-31,686683000,254639000,32797000,10475000,-8412000,-8412000,USD
LCW,2022,FY,2022-12-31,,,-1802357,9891490,9891490,9891490,USD
LCW,2023,FY,2023-12-31,,,-6204223,3907392,3907392,3907392,USD
LDI,2020,FY,2020-12-31,142879000,11436000,-2285380000,2015358000,,,USD
LDI,2021,FY,2021-12-31,262478000,44021000,-2540922000,666517000,113524000,113524000,USD
